# start	end	mode	name  (end = start+size-1, exact)
0x0800024C	0x0800033F	thumb	AgbMain
0x08000340	0x08000387	thumb	UpdateLinkAndCallCallbacks
0x08000388	0x080003A7	thumb	InitMainCallbacks
0x080003A8	0x080003CB	thumb	CallCallbacks
0x080003CC	0x080003E3	thumb	SetMainCallback2
0x080003E4	0x080003FF	thumb	SeedRngWithRtc
0x08000400	0x08000427	thumb	InitKeys
0x08000428	0x080004C3	thumb	ReadKeys
0x080004C4	0x0800053F	thumb	InitIntrHandlers
0x08000540	0x0800054B	thumb	SetVBlankCallback
0x0800054C	0x08000557	thumb	SetHBlankCallback
0x08000558	0x08000563	thumb	SetVCountCallback
0x08000564	0x0800056F	thumb	SetSerialCallback
0x08000570	0x080005EB	thumb	VBlankIntr
0x080005EC	0x080005FF	thumb	InitFlashTimer
0x08000600	0x0800062F	thumb	HBlankIntr
0x08000630	0x0800065F	thumb	VCountIntr
0x08000660	0x0800068F	thumb	SerialIntr
0x08000690	0x08000691	thumb	IntrDummy
0x08000694	0x080006B3	thumb	WaitForVBlank
0x080006B4	0x08000723	thumb	DoSoftReset
0x08000724	0x08000747	thumb	ClearPokemonCrySongs
0x08000748	0x08000793	thumb	ResetSpriteData
0x08000794	0x080007DF	thumb	AnimateSprites
0x080007E0	0x0800082B	thumb	BuildOamBuffer
0x0800082C	0x080008ED	thumb	UpdateOamCoords
0x080008F0	0x0800092F	thumb	BuildSpritePriorities
0x08000930	0x08000AEF	thumb	SortSprites
0x08000AF0	0x08000B43	thumb	CopyMatricesToOamBuffer
0x08000B44	0x08000BDB	thumb	AddSpritesToOamBuffer
0x08000BDC	0x08000C2F	thumb	CreateSprite
0x08000C30	0x08000C99	thumb	CreateSpriteAtEnd
0x08000C9C	0x08000CE3	thumb	CreateInvisibleSprite
0x08000CE4	0x08000E3B	thumb	CreateSpriteAt
0x08000E3C	0x08000ECF	thumb	CreateSpriteAndAnimate
0x08000ED0	0x08000F37	thumb	DestroySprite
0x08000F38	0x08000F6F	thumb	ResetOamRange
0x08000F70	0x08000F9F	thumb	LoadOam
0x08000FA0	0x08000FDF	thumb	ClearSpriteCopyRequests
0x08000FE0	0x0800100B	thumb	ResetOamMatrices
0x0800100C	0x0800102B	thumb	SetOamMatrix
0x0800102C	0x0800103F	thumb	ResetSprite
0x08001040	0x08001083	thumb	CalcCenterToCornerVec
0x08001084	0x0800119F	thumb	AllocSpriteTiles
0x080011A0	0x0800120F	thumb	SpriteTileAllocBitmapOp
0x08001210	0x08001211	thumb	SpriteCallbackDummy
0x08001214	0x0800126F	thumb	ProcessSpriteCopyRequests
0x08001270	0x080012D3	thumb	RequestSpriteFrameImageCopy
0x080012D4	0x08001323	thumb	RequestSpriteCopy
0x08001324	0x0800134B	thumb	CopyFromSprites
0x0800134C	0x08001373	thumb	CopyToSprites
0x08001374	0x080013B3	thumb	ResetAllSprites
0x080013B4	0x080013CF	thumb	FreeSpriteTiles
0x080013D0	0x080013DD	thumb	FreeSpritePalette
0x080013E0	0x0800140B	thumb	FreeSpriteOamMatrix
0x0800140C	0x0800142B	thumb	DestroySpriteAndFreeResources
0x0800142C	0x080014FB	thumb	DrawPartyMenuMonText
0x080014FC	0x08001543	thumb	AnimateSprite
0x08001544	0x08001633	thumb	BeginAnim
0x08001634	0x080016D3	thumb	ContinueAnim
0x080016D4	0x0800177F	thumb	AnimCmd_frame
0x08001780	0x08001795	thumb	AnimCmd_end
0x08001798	0x0800185F	thumb	AnimCmd_jump
0x08001860	0x0800187D	thumb	AnimCmd_loop
0x08001880	0x080018B7	thumb	BeginAnimLoop
0x080018B8	0x080018D7	thumb	ContinueAnimLoop
0x080018D8	0x08001949	thumb	JumpToTopOfAnimLoop
0x0800194C	0x080019C7	thumb	BeginAffineAnim
0x080019C8	0x08001A5F	thumb	ContinueAffineAnim
0x08001A60	0x08001A91	thumb	AffineAnimDelay
0x08001A94	0x08001AC7	thumb	AffineAnimCmd_loop
0x08001AC8	0x08001B03	thumb	BeginAffineAnimLoop
0x08001B04	0x08001B33	thumb	ContinueAffineAnimLoop
0x08001B34	0x08001B9F	thumb	JumpToTopOfAffineAnimLoop
0x08001BA0	0x08001BEB	thumb	AffineAnimCmd_jump
0x08001BEC	0x08001C27	thumb	AffineAnimCmd_end
0x08001C28	0x08001C5F	thumb	AffineAnimCmd_frame
0x08001C60	0x08001C7F	thumb	CopyOamMatrix
0x08001C80	0x08001C9F	thumb	GetSpriteMatrixNum
0x08001CA0	0x08001D11	thumb	SetSpriteOamFlipBits
0x08001D14	0x08001D2F	thumb	AffineAnimStateRestartAnim
0x08001D30	0x08001D57	thumb	AffineAnimStateStartAnim
0x08001D58	0x08001D7F	thumb	AffineAnimStateReset
0x08001D80	0x08001DA3	thumb	ApplyAffineAnimFrameAbsolute
0x08001DA4	0x08001DCB	thumb	DecrementAnimDelayCounter
0x08001DCC	0x08001DFB	thumb	DecrementAffineAnimDelayCounter
0x08001DFC	0x08001E93	thumb	ApplyAffineAnimFrameRelativeAndUpdateMatrix
0x08001E94	0x08001EAB	thumb	ConvertScaleParam
0x08001EAC	0x08001F17	thumb	GetAffineAnimFrame
0x08001F18	0x08001F55	thumb	ApplyAffineAnimFrame
0x08001F58	0x08001F6F	thumb	StartSpriteAnim
0x08001F70	0x08001F89	thumb	StartSpriteAnimIfDifferent
0x08001F8C	0x08002005	thumb	SeekSpriteAnim
0x08002008	0x08002033	thumb	StartSpriteAffineAnim
0x08002034	0x08002067	thumb	StartSpriteAffineAnimIfDifferent
0x08002068	0x0800209F	thumb	ChangeSpriteAffineAnim
0x080020A0	0x080020D3	thumb	ChangeSpriteAffineAnimIfDifferent
0x080020D4	0x0800212B	thumb	SetSpriteSheetFrameTileNum
0x0800212C	0x0800215F	thumb	ResetAffineAnimData
